user,dt,balance
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,2023-02-02,40.50048914
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,2023-02-03,40.50048914
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,2023-02-04,40.50048914
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,2023-02-05,40.50048914
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,2023-02-06,40.50048914
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,2023-02-07,40.50048914
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,2023-02-08,40.50048914
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,2023-02-09,40.50048914
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,2023-02-10,40.50048914
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,2023-02-11,40.50048914
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,2023-02-12,40.50048914
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,2023-02-13,40.50048914
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,2023-02-14,40.50048914
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,2023-02-15,40.50048914
0x2b1dee0c00322e99775f76b60b5bbb7b04d1dfc3,2022-09-27,0.1299490542
0x2b1dee0c00322e99775f76b60b5bbb7b04d1dfc3,2022-09-28,0.1299490542
0x2b1dee0c00322e99775f76b60b5bbb7b04d1dfc3,2022-09-29,0.1299490542
0x2b1dee0c00322e99775f76b60b5bbb7b04d1dfc3,2022-09-30,0.1299490542
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-09,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-10,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-11,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-12,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-13,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-14,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-15,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-16,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-17,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-18,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-19,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-20,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-21,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-22,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-23,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-24,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-25,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-26,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-27,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-28,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-29,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-11-30,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-01,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-02,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-03,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-04,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-05,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-06,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-07,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-08,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-09,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-10,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-11,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-12,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-13,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-14,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-15,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-16,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-17,0.008666180492
0x0aa2516acb0218703eec7f197276e80b3da25c82,2022-12-18,0.008666180492
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-10,0.1844071576
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-11,0.1844071576
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-12,0.1844071576
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-13,0.1844071576
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-14,0.1844071576
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-15,0.3978152565
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-16,0.3978152565
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-17,0.3978152565
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-18,0.3978152565
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-19,0.4527200781
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-20,0.4527200781
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-21,0.6714396346
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-22,0.6714396346
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-23,0.7995492051
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-24,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-25,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-26,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-27,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-28,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-29,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-30,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-05-31,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-01,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-02,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-03,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-04,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-05,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-06,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-07,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-08,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-09,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-10,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-11,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-12,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-13,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-14,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-15,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-16,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-17,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-18,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-19,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-20,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-21,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-22,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-23,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-24,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-25,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-26,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-27,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-28,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-29,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-06-30,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-01,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-02,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-03,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-04,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-05,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-06,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-07,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-08,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-09,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-10,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-11,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-12,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-13,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-14,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-15,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-16,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-17,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-18,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-19,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-20,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-21,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-22,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-23,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-24,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-25,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-26,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-27,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-28,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-29,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-30,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-07-31,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-01,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-02,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-03,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-04,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-05,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-06,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-07,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-08,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-09,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-10,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-11,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-12,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-13,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-14,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-15,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-16,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-17,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-18,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-19,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-20,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-21,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-22,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-23,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-24,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-25,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-26,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-27,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-28,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-29,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-30,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-08-31,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-01,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-02,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-03,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-04,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-05,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-06,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-07,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-08,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-09,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-10,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-11,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-12,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-13,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-14,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-15,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-16,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-17,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-18,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-19,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-20,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-21,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-22,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-23,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-24,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-25,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-26,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-27,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-28,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-29,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-09-30,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-01,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-02,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-03,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-04,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-05,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-06,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-07,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-08,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-09,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-10,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-11,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-12,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-13,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-14,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-15,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-16,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-17,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-18,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-19,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-20,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-21,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-22,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-23,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-24,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-25,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-26,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-27,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-28,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-29,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-30,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-10-31,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-11-01,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-11-02,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-11-03,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-11-04,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-11-05,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-11-06,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-11-07,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-11-08,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-11-09,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-11-10,0.8602377678
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2022-11-11,0.8602377678
